Month,Tmax,ET_monthly,year_month,year_id
2001-03-01,35.7,145.04564367628944,2001-03-01,2001
2001-04-01,31.8,90.99560629590334,2001-04-01,2001
2001-05-01,25.6,51.389006497285884,2001-05-01,2001
2001-06-01,23.3,37.978710559073015,2001-06-01,2001
2001-07-01,19.8,39.77862370645303,2001-07-01,2001
2001-08-01,21.6,66.70944437917063,2001-08-01,2001
2001-09-01,28.9,96.52464451749022,2001-09-01,2001
2001-10-01,25.7,114.03815865920875,2001-10-01,2001
2001-11-01,31.6,143.467380235404,2001-11-01,2001
2001-12-01,32.9,169.56276671093997,2001-12-01,2001
2002-01-01,38.4,192.50551240717436,2002-01-01,2002
2002-02-01,37.7,153.3690600694226,2002-02-01,2002
2002-03-01,34.6,128.70230473953836,2002-03-01,2002
2002-04-01,28.9,90.63713993428819,2002-04-01,2002
2002-05-01,28,70.17910873777193,2002-05-01,2002
2002-06-01,18.9,43.37275041193769,2002-06-01,2002
2002-07-01,22.6,54.36135051293874,2002-07-01,2002
2002-08-01,23.9,70.23068113325347,2002-08-01,2002
2002-09-01,27.8,95.45755078458113,2002-09-01,2002
2002-10-01,30.8,133.94322666462244,2002-10-01,2002
2002-11-01,37.1,168.6320993848789,2002-11-01,2002
2002-12-01,39.8,194.29014163734394,2002-12-01,2002
2003-01-01,43.6,221.30344363164483,2003-01-01,2003
2003-02-01,40.4,161.58699112495597,2003-02-01,2003
2003-03-01,35.8,125.75092898540768,2003-03-01,2003
2003-04-01,28.6,92.97492707945014,2003-04-01,2003
2003-05-01,25.7,55.40171645990598,2003-05-01,2003
2003-06-01,18.9,42.59284354991548,2003-06-01,2003
2003-07-01,18.7,52.20126272773775,2003-07-01,2003
2003-08-01,18.6,66.96135121818064,2003-08-01,2003
2003-09-01,25.7,89.79738372245194,2003-09-01,2003
2003-10-01,31.1,112.83537434665826,2003-10-01,2003
2003-11-01,36.8,177.72224637490044,2003-11-01,2003
2003-12-01,40.1,197.1505611064183,2003-12-01,2003
2004-01-01,38.5,175.27380883979274,2004-01-01,2004
2004-02-01,44,178.98356557586987,2004-02-01,2004
2004-03-01,39.3,142.69903491495583,2004-03-01,2004
2004-04-01,30.9,89.32170223040247,2004-04-01,2004
2004-05-01,21.6,57.49593387365665,2004-05-01,2004
2004-06-01,23.2,45.66361429221837,2004-06-01,2004
2004-07-01,20.5,44.46210474548758,2004-07-01,2004
2004-08-01,25.9,69.51885550673454,2004-08-01,2004
